threatfox_id,indicator,indicator_type,source,threat_type,threat_description,confidence,first_seen,last_seen,malware,reference,tags,fetched_at_utc
1932291,inquisitive8184.workers.dev,domain,ThreatFox,botnet_cc,Indicator that identifies a botnet command&control server (C&C),50,2026-09-24 13:52:16 UTC,,php.shin_webshell,,"Cloudflare,gif,PHP,webshell,WordPress,workers.dev,wp-admin",2026-09-20T00:20:31.954825+00:00
1932290,82.156.186.185:18443,ip:port,ThreatFox,botnet_cc,Indicator that identifies a botnet command&control server (C&C),75,2026-09-24 13:48:51 UTC,,win.cobalt_strike,,"CobaltStrike,drb-ra",2026-09-20T00:20:31.954825+00:00
1932289,209.38.82.85:443,ip:port,ThreatFox,botnet_cc,Indicator that identifies a botnet command&control server (C&C),75,2026-09-24 13:48:35 UTC,,win.cobalt_strike,,"CobaltStrike,drb-ra",2026-09-20T00:20:31.954825+00:00
1932288,178-128-196-79.sslip.io,domain,ThreatFox,botnet_cc,Indicator that identifies a botnet command&control server (C&C),75,2026-09-24 13:48:03 UTC,,win.cobalt_strike,,"CobaltStrike,drb-ra",2026-09-20T00:20:31.954825+00:00
1932286,http://quiunch.click:6271/files,url,ThreatFox,botnet_cc,Indicator that identifies a botnet command&control server (C&C),75,2026-09-24 13:42:53 UTC,,win.remus,,Remus,2026-09-20T00:20:31.954825+00:00
1932287,http://spiohop.shop:9932/categories,url,ThreatFox,botnet_cc,Indicator that identifies a botnet command&control server (C&C),75,2026-09-24 13:42:53 UTC,,win.remus,,Remus,2026-09-20T00:20:31.954825+00:00
1932285,xudevylo.workers.dev,domain,ThreatFox,botnet_cc,Indicator that identifies a botnet command&control server (C&C),50,2026-09-24 13:41:23 UTC,,php.shin_webshell,,"Cloudflare,gif,PHP,webshell,WordPress,workers.dev,wp-admin",2026-09-20T00:20:31.954825+00:00
1932283,ocean012.duckdns.org,domain,ThreatFox,botnet_cc,Indicator that identifies a botnet command&control server (C&C),75,2026-09-24 13:40:20 UTC,,win.remcos,https://bazaar.abuse.ch/sample/5b3a81a89f578c2459f8fc9c0fe473d224bf6d4b45e2239b6436398b59372eda/,remcos,2026-09-20T00:20:31.954825+00:00
1932284,oceanbiggi907.duckdns.org,domain,ThreatFox,botnet_cc,Indicator that identifies a botnet command&control server (C&C),75,2026-09-24 13:40:20 UTC,,win.remcos,https://bazaar.abuse.ch/sample/5b3a81a89f578c2459f8fc9c0fe473d224bf6d4b45e2239b6436398b59372eda/,remcos,2026-09-20T00:20:31.954825+00:00
1932282,9xagists.iranwordpres.com,domain,ThreatFox,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),100,2026-09-24 13:21:40 UTC,,js.clearfake,,"ClearFake,mac-0x0f14,macOS",2026-09-20T00:20:31.954825+00:00
